sheet_name,metric_column,metric_type,category,description,calculation_or_prompt,score_range,direction
runs,risk_level,LLM,assessment,"Final risk level","PROMPT: You are a senior credit analyst. Analyze collected data and provide credit risk assessment with overall_risk_level: LOW/MODERATE/HIGH/CRITICAL",LOW/MODERATE/HIGH/CRITICAL,N/A
runs,credit_score,LLM,assessment,"Credit score estimate","PROMPT: Provide credit_score_estimate: 300-850 based on financial health indicators",300-850,higher=better
runs,confidence,LLM,assessment,"LLM self-assessed confidence","PROMPT: Provide confidence_score: 0.0-1.0 based on data completeness and reliability",0-1,higher=better
runs,evaluation_score,Formula,overall,"Combined evaluation score","(tool_selection×0.3) + (data_quality×0.3) + (synthesis×0.4)",0-1,higher=better
runs,total_time_ms,Measured,performance,"Total execution time","Measured from start to end of workflow",ms,lower=better
runs,total_steps,Count,performance,"Steps executed","Count of workflow nodes executed",integer,N/A
runs,total_llm_calls,Count,cost,"LLM API calls","Count from llm_calls sheet for this run_id",integer,N/A
runs,tools_used,List,tool,"Tools executed","From task_plan action names",list,N/A
tool_calls,execution_time_ms,Measured,performance,"Tool execution time","Time taken by tool API call",ms,lower=better
tool_calls,status,Measured,quality,"Tool result status","ok if successful, fail if error",ok/fail,N/A
tool_calls,call_depth,Measured,hierarchy,"Nesting level","0=top-level call, 1+=nested call",integer,N/A
assessments,risk_level,LLM,assessment,"Risk classification","PROMPT: Based on company data determine risk_level. LOW (score 75-100), MEDIUM (50-74), HIGH (25-49), CRITICAL (0-24)",LOW/MODERATE/HIGH/CRITICAL,N/A
assessments,credit_score,LLM,assessment,"Numerical credit score","PROMPT: Provide credit score 300-850. Consider financial stability, payment history, market position",300-850,higher=better
assessments,confidence,LLM,assessment,"Assessment confidence","PROMPT: Rate confidence 0-1 based on data completeness. 1.0=complete data, 0.5=partial, 0.0=insufficient",0-1,higher=better
assessments,reasoning,LLM,assessment,"Explanation text","PROMPT: Provide 2-3 sentence summary of your analysis explaining the risk level and score",text,N/A
assessments,recommendations,LLM,assessment,"Action items","PROMPT: Provide actionable recommendations for credit decision",text,N/A
assessments,duration_ms,Measured,performance,"LLM synthesis time","Time for credit synthesis LLM call",ms,lower=better
evaluations,tool_selection_score,Rule,tool,"Tool selection F1 score","F1 = 2 × (precision × recall) / (precision + recall) where precision=correct/selected, recall=correct/expected",0-1,higher=better
evaluations,data_quality_score,Rule,data,"Data completeness","% of expected data fields present in collected data",0-1,higher=better
evaluations,synthesis_score,Rule,synthesis,"Output completeness","% of required output fields (risk_level, credit_score, confidence, reasoning) present and valid",0-1,higher=better
evaluations,overall_score,Formula,overall,"Combined evaluation","(tool_selection×0.3) + (data_quality×0.3) + (synthesis×0.4)",0-1,higher=better
